index,PClass,Sex,Age,Survived
1,1st,female,29,1
2,1st,female,2,0
3,1st,male,30,0
4,1st,female,25,0
5,1st,male,1,1
6,1st,male,47,1
7,1st,female,63,1
8,1st,male,39,0
9,1st,female,58,1
10,1st,male,71,0
11,1st,male,47,0
12,1st,female,19,1
13,1st,female,,1
14,1st,male,,1
15,1st,male,,0
16,1st,female,50,1
17,1st,male,24,0
18,1st,male,36,0
19,1st,male,37,1
20,1st,female,47,1
21,1st,male,26,1
22,1st,male,25,0
23,1st,male,25,1
24,1st,female,19,1
25,1st,male,28,1
26,1st,male,45,0
27,1st,male,39,1
28,1st,female,30,1
29,1st,female,58,1
30,1st,male,,0
31,1st,female,45,1
32,1st,female,22,1
33,1st,male,,1
34,1st,male,41,0
35,1st,male,48,0
36,1st,male,,0
37,1st,female,44,1
38,1st,female,59,1
39,1st,female,60,1
40,1st,male,45,0
41,1st,male,,1
42,1st,female,53,1
43,1st,female,58,1
44,1st,male,36,1
45,1st,male,33,0
46,1st,male,,0
47,1st,male,,0
48,1st,male,36,1
49,1st,female,36,1
50,1st,female,14,1
51,1st,male,11,1
52,1st,male,49,0
53,1st,female,,1
54,1st,male,36,0
55,1st,female,,1
56,1st,male,46,0
57,1st,female,47,1
58,1st,male,27,1
59,1st,female,31,1
60,1st,female,,1
61,1st,male,,1
62,1st,female,,1
63,1st,male,,0
64,1st,male,27,0
65,1st,female,26,1
66,1st,male,,0
67,1st,male,,0
68,1st,female,64,1
69,1st,male,37,0
70,1st,female,39,1
71,1st,female,55,1
72,1st,male,,0
73,1st,male,70,0
74,1st,female,69,1
75,1st,female,36,1
76,1st,male,39,0
77,1st,female,38,1
78,1st,male,,1
79,1st,male,27,1
80,1st,male,31,0
81,1st,female,27,1
82,1st,female,,1
83,1st,male,31,1
84,1st,female,17,1
85,1st,male,,1
86,1st,female,,1
87,1st,male,4,1
88,1st,female,27,1
89,1st,male,50,0
90,1st,female,48,1
91,1st,male,49,1
92,1st,female,48,1
93,1st,male,39,0
94,1st,female,23,1
95,1st,female,53,1
96,1st,female,36,0
97,1st,female,,1
98,1st,male,,1
99,1st,male,30,0
100,1st,female,24,1
101,1st,male,19,0
102,1st,female,28,1
103,1st,female,23,1
104,1st,male,64,0
105,1st,female,60,1
106,1st,male,,0
107,1st,male,49,1
108,1st,female,,1
109,1st,male,44,1
110,1st,female,22,1
111,1st,male,60,1
112,1st,female,48,1
113,1st,male,37,0
114,1st,female,35,1
115,1st,male,47,0
116,1st,female,22,1
117,1st,female,45,1
118,1st,male,49,1
119,1st,female,,1
120,1st,male,71,0
121,1st,male,54,1
122,1st,male,38,0
123,1st,female,19,1
124,1st,female,58,1
125,1st,female,45,1
126,1st,male,23,1
127,1st,male,46,0
128,1st,male,25,1
129,1st,female,21,1
130,1st,male,48,1
131,1st,female,49,1
132,1st,male,45,0
133,1st,female,36,1
134,1st,male,,1
135,1st,male,55,0
136,1st,female,52,1
137,1st,female,24,1
138,1st,male,,0
139,1st,male,,0
140,1st,male,,0
141,1st,female,16,1
142,1st,female,44,1
143,1st,female,51,1
144,1st,male,42,0
145,1st,female,35,1
146,1st,male,35,1
147,1st,male,38,1
148,1st,female,35,1
149,1st,male,,0
150,1st,female,50,0
151,1st,male,49,1
152,1st,male,46,0
153,1st,male,,0
154,1st,male,58,0
155,1st,male,41,0
156,1st,female,,1
157,1st,male,42,1
158,1st,female,40,1
159,1st,male,,0
160,1st,female,,1
161,1st,male,,0
162,1st,male,42,0
163,1st,female,55,1
164,1st,female,50,1
165,1st,female,16,1
166,1st,male,,0
167,1st,male,29,0
168,1st,female,21,1
169,1st,male,30,0
170,1st,female,15,1
171,1st,male,30,0
172,1st,male,,1
173,1st,male,,0
174,1st,female,,1
175,1st,male,46,0
176,1st,male,54,0
177,1st,male,36,1
178,1st,male,28,0
179,1st,female,,1
180,1st,male,65,0
181,1st,female,33,1
182,1st,male,44,0
183,1st,female,37,1
184,1st,male,,1
185,1st,male,55,0
186,1st,male,47,0
187,1st,male,36,0
188,1st,male,58,0
189,1st,female,31,1
190,1st,female,23,1
191,1st,female,19,1
192,1st,male,64,0
193,1st,male,,1
194,1st,male,64,0
195,1st,female,22,1
196,1st,male,28,0
197,1st,male,,0
198,1st,male,,0
199,1st,male,22,0
200,1st,male,,0
201,1st,female,,1
202,1st,male,18,0
203,1st,female,17,1
204,1st,male,52,1
205,1st,male,46,0
206,1st,female,56,1
207,1st,male,,0
208,1st,male,,1
209,1st,female,43,1
210,1st,male,31,0
211,1st,male,,1
212,1st,male,,0
213,1st,female,33,1
214,1st,male,,0
215,1st,female,27,1
216,1st,male,55,0
217,1st,female,54,1
218,1st,male,,0
219,1st,male,61,0
220,1st,female,48,1
221,1st,female,18,1
222,1st,male,13,1
223,1st,female,21,1
224,1st,male,,1
225,1st,male,,1
226,1st,female,,1
227,1st,male,34,1
228,1st,female,40,1
229,1st,male,36,1
230,1st,male,50,0
231,1st,female,39,1
232,1st,male,56,1
233,1st,male,28,1
234,1st,male,56,0
235,1st,male,56,0
236,1st,male,24,0
237,1st,female,18,1
238,1st,male,,0
239,1st,male,24,1
240,1st,female,23,1
241,1st,male,45,1
242,1st,female,40,1
243,1st,male,6,1
244,1st,male,57,0
245,1st,female,,1
246,1st,male,32,1
247,1st,male,62,0
248,1st,male,54,1
249,1st,female,43,1
250,1st,female,52,1
251,1st,male,,0
252,1st,female,62,1
253,1st,male,67,0
254,1st,female,63,0
255,1st,male,61,0
256,1st,female,46,1
257,1st,male,52,0
258,1st,female,39,1
259,1st,female,18,1
260,1st,male,48,1
261,1st,female,,1
262,1st,male,49,0
263,1st,female,39,1
264,1st,male,17,1
265,1st,male,46,0
266,1st,female,,1
267,1st,male,31,1
268,1st,male,,0
269,1st,male,61,0
270,1st,male,47,0
271,1st,male,64,0
272,1st,female,60,1
273,1st,male,60,0
274,1st,female,55,1
275,1st,male,54,0
276,1st,male,21,0
277,1st,male,57,0
278,1st,female,45,1
